task,solution,link,long_solution
Какое слово всегда пишется неправильно?,"Это слово «неправильно». Оно всегда так и пишется – «неправильно». Эффект этой задачи заключается в том, что в ней слово «неправильно» употребляется в двух разных смыслах.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Это слово «неправильно». Оно всегда так и пишется – «неправильно». Эффект этой задачи заключается в том, что в ней слово «неправильно» употребляется в двух разных смыслах."
Сколько месяцев в году имеют 28 дней?,Все месяцы,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Все 12 месяцев в году имеют хотя бы 28 дней. Однако, только февраль имеет 28 дней в обычном году, а в високосном году у февраля 29 дней."
"С какой скоростью должна двигаться собака (в возможных для неё пределах), чтобы не слышать звона сковородки, привязанной к ее хвосту?",С нулевой. Собаке нужно стоять на месте,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Если собака будет двигаться, то при любых условиях сковородка будет издавать шум. Значит единственная скорость с которой она должна двигаться, при которой мы не услышим шума это нулевая, собака будет сидеть на одном месте и сковородка не будет перемещаться."
"Собака была привязана к десятиметровой веревке, а прошла по прямой двести метров. Как ей это удалось?",Её веревка не была ни к чему не привязана,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Двадцати сантиметровая веревка намного меньше чем заявленная длина в 200 метров. Следовательно если бы веревка была к чему-то привязана, например к столбу, собака не смогла бы пройти данное расстояние. Получается, что собаку ничего не держало, и веревка не была привязана. С другой стороны, даже если бы веревка была привязана, то собака могла ходить по прямой из стороны в сторону, каждый раз разворачиваясь в противоположную сторону, когда встречала предмет, к которому привязана веревка, но такое поведение для обычной собаки маловероятно. Поэтому я больше склоняюсь к первой версии."
Как спрыгнуть с десятиметровой лестницы и не ушибиться?,Нужно прыгать с нижней ступени,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Падение с 10 метровой высоты может оказаться для человека смертельным. В случае с 10 метровой лестницей мы можем спустится с ее верха на первую ступеньку и спрыгнуть с нее, что технически будет считаться прыжком с ""десяти метровой лестницы"", но на деле сам прыжок будет осуществлятся с высоты около 10 см."
Что можно видеть с закрытыми глазами?,Сны,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Когда человек закрывает глаза он может видеть то, что открывается его воображению. К примеру он может вообразить кошку или дом. Также в вопросе вероятно имеется в виду такое понятие как сновидения, которые обычно видит каждый человек без каких либо медицинских отклонений."
Что в огне не горит и в воде не тонет?,Лёд,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Скорее всего в данном вопросе имеется лёд, так как он не обладает свойствами горения и способен плавать из-за того обладает плотностью схожей с водой. Однако если учесть скорость развития современных технологий, это может быть и другой химический материал выдерживающий огонь и имеющий плотность меньше чем у воды. К примеру это может быть дерево, покрашенное специальной огнеупорной краской."
Кого австралийцы называют морской осой?,Медузу,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"Это такая очень, самая ядовитая медуза, при малейшем прикосновении может вызвать паралич. Поэтому спасатели - австралийцы в море находятся в колготках. В море есть специально огороженные мелкой сеткой пляжи."
"Что нужно делать, когда видишь зелёного человечка?",Переходить улицу (это рисунок на зелёном сигнале светофора),https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"В культуре существует множество значений для термина ""зеленые человечки"", но вероятнее всего речь идет о знаке на светофоре в форме зеленого человечка. Данный знак как раз и означает что человеку необходимо переходить дорогу."
Москву раньше называли белокаменной. А какой город называли чёрным?,Чернигов,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,"На данный момент существует несколько гипотез, почему же Чернигов называли черным городом. Вот одни из них: 
1. Чёрный Гай - Чернигай - Чернигав - Чернигов. 
По этой версии в стародавние времена леса в тех местах были непроходимыми, дремучими и черными (тёмными) . Оттуда и название города в окружении такого леса. 
Однако эта простая и понятная гипотеза, объясняющая даже присутствие в слове буквы ""г"" не верна в связи со следующими доводами: 
"" Если все леса вокруг были чёрными, то почему именно это место так названо? 
"" Если вокруг был сплошной чёрный лес, то это название менее всего отличает данное место от других. Это было бы равносильно тому, как если бы участок степи назвали - ""Степь"", а часть моря - ""Море"". 
"" Наконец, слова ""гай"" и ""лес"" не совсем равнозначны. Гай - это скорее редколесье или перелесок, нежели лес. Во всяком случае, гай, в особенности в солнечную погоду, наполнен светом, и никак не может быть чёрным. 
Итак: Чернигов - это не Чёрный Гай. 
2. Князь Чёрный. Чернигов происходит от имени (прозвища) черниговского князя, которого звали Чёрный. Князь Чёрный жил и правил в X веке. К сожалению и эта версия имеет свои недостатки: Чернигов со своим названием существовал задолго до рождения князя Чёрного. 
3. Вождь Чернига. Чернигов - это притяжательная форма имени древнего местного вождя по имени Чернига. Город назвали в его честь: Чернигов-град или просто Чернигов. Эта версия тоже имеет свои недостатки: 
"" История не донесла до нас имени вождя Черниги. Чернига - лицо гипотетическое. 
"" Лексика того времени требовала притяжательного суффикса -ин-, а не -ов-. Поэтому имея в основе имя Чернига, мы имели бы топоним Чернигин, а не Чернигов."
