bugurt,prompt
"ВСЮ ЖИЗНЬ СЧИТАЛ СЕБЯ ГУМАНИТАРИЕМ  
@  
ВНЕЗАПНО ПОТЯНУЛО К ТЕХНИЧЕСКИМ НАУКАМ  
@  
НАЧАЛ РАЗБИРАТЬСЯ  
@  
НАШЕЛ ЧЕЛА В ТЫРНЕТЕ, КОТОРЫЙ ПОНЯТНО ОБЬЯСНЯЕТ  
@  
ВСЕ ОКАЗАЛОСЬ ПРОСТО, ЕСЛИ ЗНАТЬ БАЗОВЫЕ ВЕЩИ, КОТОРЫЕ ТЫ ПРОПУСТИЛ/НЕ ПОНЯЛ В ШКОЛЕ",напиши бугурт про то как плохо объясняют в школе
"НАДО ИДТИ ПО ДЕЛАМ  
@   
ПОКЕКАЛ  
@   
ВЫШЕЛ ИЗ СОРТИРА, ПОМЫЛ РУКИ, ПОШЁЛ ОДЕВАТЬСЯ  
@   
НАГНУЛСЯ, ЧТОБЫ ПОДТЯНУТЬ ШТАНЫ  
@   
СНОВА ХОЧЕШЬ ХЕЗИТЬ  
@   
СИДИШЬ НА ГОРШКЕ  
@   
КОМАНДА ГАЗЫ  
@   
БУМАЖКА, ПОСЛЕ НЕПОСРЕДСТВЕННОГО ПРИМЕНЕНИЯ, ЧИСТА И НЕПОРОЧНА  
@   
ВЫХОДИШЬ ИЗ СОРТИРА  
@   
ВРЕМЯ ПОДЖИМАЕТ  
@   
БЫСТРО ОДЕВАЕШЬСЯ И ВЫХОДИШЬ ИЗ ДОМА  
@   
ЖИВОТ НОЕТ, ЧТО ПОРА СНОВА В ТОЛЧОК  
@   
""ТЫ МЕНЯ БОЛЬШЕ НЕ ПРОВЕДЁШЬ!""  
@   
ПРОИГРАЛ С ПОДЛИВОЙ",бугурт про то как болит живот перед выходом на улицу
"ТО, ЧТО ДЛЯ НАС — МАЛОБЮДЖЕТНЫЙ САС  
@  
ДЛЯ ИТАЛЬЯНЦЕВ — ССАНЫЙ МАТРАС  
@  
НИЗКИЙ ТАЗ  
@  
АНАЛЬНЫЙ ЛАЗ  
@  
СОКОЛИНЫЙ ГЛАЗ",
"ИГРАЕТ В ТАРКОВ/ХОИ/ИНЦЕЛ ИГРА НЕЙМ  
@  
НОСИТ НАШИВКИ ОТ 517 ТИМ  
@  
ВЫПРОСИЛ У МАМКИ БЕРЦЫ И ХОДИТ В НИХ В +25  
@  
ПОЗИРУЕТ С ИРП НА ЗАБРОШКАХ  
@  
ДРОЧИТ НА ВСЁ ЧТО СВЯЗАНО С ВОЕННЫМИ ДЕЙСТВИЯМИ  
@  
СЧИТАЕТ СЕБЯ БАЗИРОВАНЫМ МИЛИТАРИСТОМ  
@  
@  
@  
БОИТСЯ ИДТИ В АРМИЮ",бугурт про то что чел обожает все связанное с войной но ссыт идти в армию
"ДАВНО МЕЧТАЕШЬ О ЭЛЕКТРОГИТАРЕ  
@  
СПУСТЯ НЕСКОЛЬКИХ МЕСЯЦЕВ ЛИШЕНИЯ СЕБЯ ЧИПСОВ И ПРОЧЕГО НАКОПИЛ НА САМЫЙ ДЕШЕВЫЙ СТАГГ ЗА 300 РУБЛЕЙ(белорусских)  
@  
ПРИШЕЛ В МУЗЫКАЛЬНЫЙ МАГАЗИН  
@  
ЕСТЕСТВЕННО С БАБУШКОЙ  
@  
ПРОСИШЬ У КОНСУЛЬТАНТА СТРАТОКАСТЕР СТАГГ  
@  
400 РУБЛЕЙ  
@  
#бугурт  
 @  
БАБУШКА ПРДЕЛАГАЕТ СТРАТ ОТ ФЕНДЕР  
@  
ДОКИДЫВАЕТ ЕЩЕ 500 РУБЛЕЙ  
@  
ЗАПИСЫВАЕТ НА ДОВОЛЬНО ДОРОГИЕ КУРСЫ И ОПЛАЧИВАЕТ, ЛИШЬ БЫ БЫЛ ХОТЬ ЧЕМ ТО ЗАНЯТ  
@  
#антибугурт  
@  
ЗАБОТИШЬСЯ О НЕМ КАК О РОДНОМ СЫНЕ  
@  
ПРОТИРАЕШЬ ПЫЛЬ ПОД СТРУНАМИ, МЕНЯЕШЬ СТРУНЫ КОГЛА ПОЛОЖЕНО, НАСТРАИВАЕШЬ ПЕРЕД КАЖДЫМ ЗАНЯТИЕМ  
@  
ПРОШЛО ПОЛГОДА  
@  
УЕХАЛ В ЛАГЕРЬ, ОТДАВ НА ХРАНЕНИЕ ГИТАРУ СЕСТРЕ  
@  
ПРИЕЗЖАЕШЬ  
@  
ГИТАРА РАССТРОЕНА, СТРУНЫ ЗВЕНЯТ КАК БУДИЛЬНИК В ШКОЛУ, НА БРИДЖЕ НЕ ХВАТАЕТ ПОЛОВИНЫ БОЛТИКОВ, ГНЕЗДО ДЛЯ ДЖЕКА РАССШАТАНО ТАК, ЧТО ПРИХОДИТСЯ ПОСЛЕ КАЖДОГО ЗАНЯТИЯ ПОДКРУЧИВАТЬ ГНЕЗДО ГАЕЧНЫМ КЛЮЧОМ  
@  
#всетакибугурт",напиши бугурт про то как сестра испортила твою любимую электрогитару
"ТУТ  
@  
ШОФЭР НА ЗВ'ЯЗКУ  
@  
АВТОБАТ  
@  
НУ ШО ТАКОЕ?!  
@  
ТУТЭЧКИ МЫ  
@  
АВТОБАТ  
@  
ГОТОВИ  
@  
КРЫШУ ПОМНЁШЬ",
"2015 ГОД  
@  
ТЫ АКТИВНО УЧАВСТВУЕШЬ В СРАЧАХ В КОММЕНТАРИЯХ, УГАРАЕШЬ С РАНДОМАМИ НАД ПАСТАМИ ПРО ГОВНО, КЛЕЙМИШЬ АДМИНА ПЕТУХОМ ЗА ФОРС МЕМОВ ""НЯ, ПОКА"" И ""КЕКА""  
@  
С ОСНОВНОГО АККАУНТА  
@  
2022 ГОД  
@  
РЕШАЕШЬ ОСТАВИТЬ ШУТОЧНЫЙ КОММЕНТАРИЙ В %ПАБЛИКНЕЙМ%  
@  
""СЛАВКА СЫЧЕВ КОММЕНТИРУЕТ ЗАПИСЬ""  
@  
""ВАШ ДРУГ СЛАВКА СЫЧЕВ СИДИТ В %ПАБЛИКНЕЙМ%, ВОЗМОЖНО ВАМ ПОНРАВИТСЯ ЭТО СООБЩЕСТВО""  
@  
""ВЫ ЗНАКОМЫ СО СЛАВКОЙ СЫЧЕВЫМ? У ВАС 1 ОБЩИЙ ДРУГ И 1 ОБЩЕЕ СООБЩЕСТВО, В КОТОРОМ ОН ЖЕСТКО НАВАЛИВАЕТ КРИНЖА В КОММЕНТАРИЯХ""  
@  
МОДЕРАТОРЫ ВК ЛИЧНО ОТПРАВЛЯЮТ ССЫЛКУ НА ТВОЙ КОММЕНТАРИЙ ВСЕМ ДРУЗЬЯМ И РОДСТВЕННИКАМ  
@  
СКРИНШОТ КОММЕНТАРИЯ РАССЫЛАЕТСЯ ТВОИМ КОЛЛЕГАМ В ОФИС ЧЕРЕЗ ФАКС  
@  
ТЕКСТ С ТВОИМ КОММЕНТАРИЕМ ЗВУЧИТ В РЕКЛАМЕ ПЕРЕД КАЖДОЙ ПОПЫТКОЙ ПОСЛУШАТЬ МУЗЫКУ  
@  
СКРИНШОТ КОММЕНТАРИЯ РАЗВЕШИВАЕТСЯ НА БИЛЛБОРДАХ НАД МКАДОМ  
@  
К ТЕБЕ В ХАТУ ВРЫВАЕТСЯ БАТЯ НА ""СЕРЬЕЗНЫЙ РАЗГОВОР"" О ТОМ, ЧТО ОНИ С МАТЕРЬЮ ТЕБЯ НЕ ТАКИМ ВОСПИТЫВАЛИ",напиши мне бугурт про вк и то что он показывает все твои действия друзьям
"ДРОЧИТ НА ВСЕ, СВЯЗАННОЕ З ЗОМБИ АПОКАЛИПСИСОМ  
@  
ЗОМБИ АПОКАЛИПСИС НАСТУПАЕТ  
@  
ДОВОЛЬНО УРЧА СМОТРИТ НА СВОИ ЗАПАСЫ НА ДВЕ НЕДЕЛИ И ЗАКОЛОЧЕННЫЕ, ЗАВЕШАННЫЕ ОДЕЯЛАМИ ОКНА  
@  
ПРОДУКТЫ КОНЧИЛИСЬ  
@  
ВЫШЕЛ НА УЛИЦУ  
@  
ИЗ ОРУЖИЯ КУХОННЫЙ ТОПОР  
@  
ВСТРЕТИЛ ЗОМБИ  
@  
КИНУЛСЯ БЕЖАТЬ  
@  
Т.К. РОСТ 165, ВЕС 100 ЧЕРЕЗ МИНУТУ УПАЛ С ГРОМКОЙ ОТДЫШКОЙ, КОТОРАЯ СОЗВАЛА ЕЩЕ БОЛЬШЕ ЗОМБЕЙ  
@  
РАЗМАХИВАЕТ ТОПОРОМ  
@  
ПЫТАЕТСЯ НАНЕСТИ УДАР  
@  
ВАЛЯТ НА ЗЕМЛЮ ПРЕЖДЕ ЧЕМ ТОПОР ДОХОДИТ ДО ГОЛОВЫ  
@  
ВСЕ",напиши бугурт про чела которому нравится все связанное с зомби апокалипсисом
"ИГРАЕТ В БЕСКОНЕЧОЕ ЛЕТО/МЛР/ВИЗУАЛЬНОЕ ГОВНО НЕЙМ  
@  
НАЛЕПИЛ 100500 ЗНАЧКОВ СО ВСЯКИМИ АНИМЕ ТНЯМИ ИЗ НН МОДОВ ДЛЯ БЛ  
@  
ВЫПРОСИЛ У МАМКИ ПОДУШКУ С РИСУНКОМ ТНИ   
@  
СЛЕЗНО УМОЛЯЛ ВОЖАТУЮ В ЛАГЕРЕ СФОТКАТЬСЯ ВМЕСТЕ НА ФОНЕ ВОРОТ  
@  
ДРОЧИТ НА ВСЁ ЧТО СВЯЗАНО С ЯПОНСКИМИ ШКОЛЬНИЦАМИ   
@  
ВСЕРЬЁЗ СЧИТАЕТ СЕБЯ ИДЕАЛЬНЫМ РОМАНТИКОМ, НАМНОГО БОЛЕЕ ЗРЕЛЫМ, ЧЕМ СВЕРСТНИКИ (САМОМУ ПРИ ЭТОМ ЛЕТ 14 ОТ СИЛЫ)  
@  
@  
@  
БОИТСЯ ПОДОЙТИ К ЖЕНЩИНЕ ИРЛ",напиши бугурт про человека которому нравится бесконечное лето и все анимешное
"ПРОСЫПАЕШЬСЯ  
@  
С ЛИЦОМ КАМНЯ ИДËШЬ НА КУХНЮ  
@  
СЕГОДНЯ ТЫ НЕВЫСПАВШИЙСЯ, НО ЗАМОТИВИРОВАННЫЙ ПП'ШНИК  
@  
ТАК ЧТО ГОТОВИШЬ КАШУ НА МОЛОКЕ  
@  
СУКА  
@  
ВМЕСТО МОЛОКА ИБАНУЛ КЕФИРА  
@  
ДА ПОХ  
@  
@  
@  
ПРОШЛО ПОЛДНЯ  
@  
У ТЕБЯ СЕГОДНЯ ВЫПУСКНОЙ ВЕЧЕР  
@  
ВСË ВРЕМЯ СВОЕГО ШКОЛЬНОГО ОБУЧЕНИЯ ТЫ БЫЛ СТРАННЫМ СЫЧОМ В УГЛУ  
@  
НО В ПОСЛЕДНИМ ДВА МЕСЯЦА ВДРУГ СТАЛ УВЕРЕННЫМ В СЕБЕ... ЕРОХОЙ?  
@  
БОЛШЕ НЕ БОИШЬСЯ ТЯН (ПО КРАЙНЕЙ МЕРЕ ВНУШАЕШЬ СЕБЕ ЭТО ПО УТРАМ)   
@  
И ДЕЙСТВИТЕЛЬНО, ТНИ ВДРУГ РЕЗКО ТЕБЯ ЗАХОТЕЛИ. А САМОЕ ГЛАВНОЕ, ОТ ТЕБЯ БЕЗ УМА ТВОЯ ТАЙНО ВОЗЛЮБЛЕННАЯ ТЯН  
@  
И СЕГОДНЯ ОНА ТАНЦУЕТ С ТОБОЙ БАЛЬНЫЙ ТАНЕЦ  
@  
ТЫ КАК МОЩНЕЙШИЙ ГИГАЧАД ЗАКРУТИШЬ ЕЁ В ПЛАВНОМ ВАЛЬСЕ, ОНА ПОЦЕЛУЕТ ТЕБЯ И ВЫ УЙДЁТЕ В ЗАКАТ...   
@  
ЕХИДНАЯ ДРИСНЯ ТАК НЕ ДУМАЕТ  
  
ну, получается, сыч реально обосрался, только он не спал  
#бугурт  
  ",бугурт про то что не стоит путать молоко и кефир
