prompt,solution,link
"Регион: [Россия](/regiony/rossiya) Доброе утро.
Покупаю приватизированную квартиру. На момент приватизации зарегистрированы в квартире были четверо — мать, отец, двое совершеннолетних сыновей. Сыновья в приватизации не участвовали. Один из сыновей уже снялся с учета и предоставил нотариально заверенное заявление такого содержания:
«Я, Иванов Иван Иванович, настоящим заявлением подтверждаю, что мне известно, что на момент приватизации квартиры, находящейся по адресу …, и я был зарегистрирован в указанной квартире, но в число собственников включен не был. Подтверждаю, что претензий по приватизации вышеуказанной квартиры не имею, в суд по поводу признания договора передачи частично недействительным обращаться не буду. Я, Иванов Иван Иванович, настоящим заявлением не возражаю против продажи данной квартиры.»
Здесь ни слова о том, что в связи с добровольной сменой жительства его бессрочное право пользования квартирой ПРЕКРАЩЕНО. И к тому же, человек выписался ""в никуда"". Хотя везде пишут, что он должен в ОБЯЗАТЕЛЬНОМ порядке зарегистрироваться на новом месте.
Подскажите, пожалуйста, безопасно покупать данную квартиру???
Заранее благодарю.","Вам нужно получить вышеуказанное согласие с указанием формулировки о прекращении права проживания, либо он должен предоставить доказательства регистрации в ином месте",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/pokupayu-privatizirovannuyu-kvartiruest-otkaznik
"Регион: [г.Москва](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%B3%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0) Добрый день, хочу приобрести квартиру на вторичном рынке в ипотеку банка ВТБ. Собственник покупал данную квартиру также в ипотеку по ДДУ, также в ВТБ. На сегодняшний день на Собственника заведено много административных дел по неуплате задолженности (Микрозаймы, кредитные карты), в том числе и по ипотеке, но он готов оплатить все долги, снять с ареста у приставов данную квартиру и написать ходатайство в Банк ВТБ, чтобы ему разрешили продать данную собственность. Если банк даёт согласие, то какие то есть риски в приобретении данного квартиры, также в ипотеку в банке ВТБ?","Есть риск если продавца признают в последующем банкротом, т.е. если у него есть еще долги, в таком случае квартиру могут изъять",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/pokupka-kvartiry-u-problemnogo-sobstvennika
"Регион: [Россия](/regiony/rossiya) Здравствуйте! При записи в стоматологию на лечение, мне сказали что будет заведена электронная карта пациента и нужно принести снилс. Раньше без снился всё делали, а теперь говорят что не будут обслуживать без снилс.
Я опасаюсь что номер снилс может попасть в руки мошенников, тем более сейчас мошенники по ватсапу (представившись глав врачом, номера и картинки профилей подменяют чтобы обмануть) запрашивают данные пациентов, а потом по паспорту и снилс оформляют микрозаймы и т.д.

И как мне быть? Когда я приду и если мне откажут в лечении в гос стоматологии? Вызывать полицию? Пользоваться 51 статьёй конституции и правом на бесплатное лечение по полису?","Ваш СНИЛС имеется уже во многих базах, в том числе в пенсионном фонде, поэтому вероятность попадания снился к мошенникам уже имеется

Статья Конституции не относится к вашему случаю

Статья 51

1. Никто не обязан свидетельствовать против себя самого, своего супруга и близких родственников, круг которых определяется федеральным законом.2. Федеральным законом могут устанавливаться иные случаи освобождения от обязанности давать свидетельские показания.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/trebuyut-snils-v-stomatologii
"Регион: [Россия](/regiony/rossiya) Здравствуйте.

Более полугода назад я отравился продуктом, купленным в магазине федеральной сети.

Это отравление лишило меня возможности принимать пищу и инициировало мою госпитализацию в городскую больницу.

Попав в городскую больницу мне было сказано, что счет моей жизни в тот момент шел на часы.

Меня начали лечить и допустили катастрофическую врачебную ошибку, которая ударила по нескольким системам организма, физиологически и когнитивно меня инвалидизировав.

После этой ошибки я восстанавливаю свою полноценность до сих пор.

Ввиду всего этого у меня не хватило сообразительности в тот острый период зафиксировать информацию о приобретенном продукте.

Однако продукт этот приобретался через популярное приложение доставки.


Вопрос таков: насколько призрачны мои шансы сейчас восстановить информацию о произведенной мне так давно покупке?

Мне подсказали, что магазины ведут отчётность в ФНС, и - если их архивы долгорочны, а передаваемая им информация действительно столь подробна - как мне инициировать ее получение?

И существуют ли иные организации, в которых эта информация может сохраняться?","Восстановить информацию о покупке не проблема, можете запросить в том же приложении и в банке, но вам еще нужно будет доказать факт некачественной продукции",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/poluchenie-svedeniy-o-produkcii-poluchennoy-bolee-polugoda-nazad
"Регион: [Россия](/regiony/rossiya) 
Здравствуйте. Дочери 6 лет, ее отец платит на протяжении 4-х лет 25% от заработка по суду, работает в государственной организации. В течении всего времени он никак не контактировал с ребенком ни разу, сейчас у него новая семья и его жена так же подала на него на алименты. В день алиментов мне пришла сумма 4000, что в 3 раза меньше суммы которая приходила всегда, я решила выяснить у него этот вопрос мирно, на звонок он не ответил но в Вацап написал(есть скриншоты)о том, что на работе он договорился о маленьком официальном доходе, а так же обвинил меня в том что из-за алиментов он вынужден работать без выходных и за это пообещал по достижению ребенком 18-ти лет оформить себе через знакомых в минздраве инвалидность и взыскивать алименты на содержание себя с дочери. Как мне правильно поступить, что бы он не создал нам проблем.",Вы вправе подать иск и просить изменить алименты на одновременное взыскание % и + твердой денежной суммы,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/otec-uklonyaetsya-ot-alimentov-skryvaya-dohod
"Регион: [Россия](/regiony/rossiya) Соседи постоянно подкладывают различные предметы, что бы общедомовая дверь в подъезде была всегда приоткрыта (постоянно бегающие домой дети, либо животные). На замечания не реагируют. В нашем регионе желтый уровень террористической опасности, в связи с чем, недоброжелателям не составит проблем войти через приоткрытую дверь в подъезд для своих преступных целей. Какой предложите выход из данной ситуации, как повлиять на нерадивых соседей?! Заранее благодарен.","ГК РФ Статья 247. Владение и пользование имуществом, находящимся в долевой собственности

Как определить порядок пользования жильем, находящимся в долевой собственностиКаков порядок пользования земельным участком, находящимся в долевой собственности

1. Владение и пользование имуществом, находящимся в долевой собственности, осуществляются по соглашению всех ее участников, а при недостижении согласия - в порядке, устанавливаемом судом.2. Участник долевой собственности имеет право на предоставление в его владение и пользование части общего имущества, соразмерной его доле, а при невозможности этого вправе требовать от других участников, владеющих и пользующихся имуществом, приходящимся на его долю, соответствующей компенсации.

поэтому вам нужно проводить общее собрание собственников",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/neuvazhaemye-sosedi
Регион: [Россия](/regiony/rossiya) Какой вопрос юристу задают чаще всего?,На форуме допускается задавать любые вопросы в области юриспруденции,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/test-drayv
"Регион: [Санкт-Петербург](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D1%81%D0%B0%D0%BD%D0%BA%D1%82-%D0%BF%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3) Здравствуйте!
Занял знакомому достаточно немаленькую сумму денег, с учётом того, что вернёт он мне ее в течение 2-ух недель с момента получения, а если не вернет, то выплатит проценты. Прошло 2 месяца, человек вернул всего 5% от всей суммы, на все вопросы отвечает, что завтра все будет и ничего не происходит, в 90% случаев просто не отвечает. Подскажите, что можно предпринять в данной ситуации. Могу ли я продать вещи должника без последствий для себя, или это будет иметь негативный контекст? Расписка от должника в получении денежных средств имеется. Заранее благодарю!",Вы вправе подать иск в суд о взыскании денег по расписке,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/chelovek-ne-vozvrashchaet-zayomnye-sredstva
Регион: [Россия](/regiony/rossiya) В какой срок работодатель должен выплатить долги по заработной плате после уволения сотрудника,"ТК РФ Статья 140. Сроки расчета при увольнении

При прекращении трудового договора выплата всех сумм, причитающихся работнику от работодателя, производится в день увольнения работника. Если работник в день увольнения не работал, то соответствующие суммы должны быть выплачены не позднее следующего дня после предъявления уволенным работником требования о расчете.

В случае спора о размерах сумм, причитающихся работнику при увольнении, работодатель обязан в указанный в настоящей статье срок выплатить не оспариваемую им сумму.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/v-kakoy-srok-rabotodatel-dolzhen-vyplatit-dolgi-po-za
"Регион: [Россия](/regiony/rossiya) Существует ли законодательный критерий адекватности цены? Т.е. будет ли легальным создание в ресторане неоправданно сверх-дорогой позиции в меню? Соответственно, считается ли мошенничеством продажа такой позиции клиенту? Нужно ли официанту в таком случае предупреждать посетителя о цене?",Предупреждать посетителя о цене обязаны,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/regulirovka-cen
