prompt,solution
напиши стих про облака и реку используя хорей,"В небе тают облака,
И, лучистая на зное,
В искрах катится река,
Словно зеркало стальное."
"стих про тучку и утёс, хорей","Ночевала тучка золотая
На груди утеса-великана;
Утром в путь она умчалась рано,
По лазури весело играя..."
"стих про то как я стою над невой и вспоминаю своё прошлое, используя ямб","Опять стою я над Невой,
И снова, как в былые годы,
Смотрю и я, как бы живой,
На эти дремлющие воды"
"напиши стих про то как я сидел на холме и что-то вспоминал, используй ямб","Вот холм лесистый, над которым часто
Я сиживал недвижим - и глядел
На озеро, воспоминая с грустью
Иные берега, иные волны..."
используя дактиль напиши стих про ночное море ,"Как хорошо ты, о море ночное,- 
Здесь лучезарно, там сизо-темно...
В лунном сиянии, словно живое,
Ходит и дышит, и блещет оно."
"стих про то как мы выйдем погулять в поле, при помощи дактиля","Ранними летними росами 
Выйдем мы в поле гулять.
Будем звенящими косами
Сочные травы срезать!"
"стих про русских женщин, рифмвка в стиле амфибрахия","Есть женщины в русских селеньях
С спокойною важностью лиц,
С красивою силой в движеньях,
С походкой, со взглядом цариц."
"используя анапест напиши стих про природу, упоминая реку, луг, берег","Прозвучало над ясной рекою,
Прозвенело в померкшем лугу,
Прокатилось над рощей немою,
Засветилось на том берегу."
"напиши про спокойную ночь и ямщика, в стиле анапеста","Ночь холодная мутно глядит
Под рогожу кибитки моей,
Под полозьями поле скрипит,
Под дугой колокольчик звенит,
А ямщик погоняет коней."
четвероятишие про море используя мужскую рифму,"И море, и буря качали наш челн;
Я, сонный, был предан всей прихоти волн.
Две беспредельности были во мне,
И мной своевольно играли оне."
"стих про ночь и звезды, женская рифма","Тихой ночью, поздним летом,
Как на небе звезды рдеют,
Как под сумрачным их светом
Нивы дремлющие зреют."
"стих про девочку с дудочкой, дактилическая рифма","Девочка во поле с дудочкой ивовой,
Зачем ты поранила веточку вешнюю?
Плачет у губ она утренней иволгой,
плачет все горше и все безутешнее."
стих про иволгу изеро со смежной рифмовкой,"Выткался на озере алый свет зари,
На бору со звонами плачут глухари.
Плачет где-то иволга, схоронясь в дупло.
Только мне не плачется - на душе светло."
